identityLineItemId,lineItemUnblendedCost,lineItemUsageStartDate,lineItemUsageEndDate,lineItemLineItemType,lineItemProductCode,lineItemResourceId
udqorki27wcw4rzvc3uxpvf7elrcocr6ccc5zf7chfkdk7rl2h5a,1.2851682312,2023-07-07T03:00:00Z,2023-07-07T04:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:434632636264:cluster-snapshot:awsbackup:copyjob-b31d692d-9e74-7043-223a-9a2339d05f9c
hcxaaayayyh3hlpug5mwdh7lnpsniikxtdujyf2imibltmv6ydqq,0.33214676,2023-07-07T01:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:cluster:cluster-57ljsgpq5lpf4pthtuipledu7m
6ks3jjqa4q26nlnhqtg6ogk6jtnosp2pzk4lyeeblkirpsknkdsq,8.3322431146,2023-07-07T03:00:00Z,2023-07-07T04:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-a5551c55-42e5-8792-c036-cbf11868f483
3a44dihxibl45jrpbje2t32gqzjswawc7m7avziltgbqzda4usna,1.3969024424,2023-07-07T00:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-e796893f-3b4c-9abe-aca4-be4588bbaed1
sbkr5yuqnbnkcvojocifn64ju2hbuz4wrdvs5woito3gkt46noma,3.893,2023-07-07T01:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-user-fraud-01-001
n3frsr4jiq72krd4mv2mh4lms75vigzxkxtmk2xkn72g2hqngu6a,0.7263530928,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-32935042-b7bf-164f-5d48-24034acdb7fa
ru4qa53n23cyebi6t2afafjmtbvmx2ycna5nzsuq75xj3u6bkwfq,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-05-002
gzf2yismglt2b3eybd4fcc7btlrtedulxbenblzvtquwhswr3qoq,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-10-001
fffcevca3jva3hihhg2s4l5b5ca43niefkdgsa76ia2ym2i3z24a,2.651,2023-07-07T00:00:00Z,2023-07-07T11:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-circuitbreaker-01-001
d4mrkfqtrk3ncj3niz2mlae4uvu3pxs2qee5gb3pm3zrkyi5p66q,1.603,2023-07-07T01:00:00Z,2023-07-07T10:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-rooinvite-01-002
