identityLineItemId,lineItemUnblendedCost,lineItemUsageStartDate,lineItemUsageEndDate,lineItemLineItemType,lineItemResourceId
solaq4ev6agbtpvneekfpkkaoj67lgn7kchbzlkf2k3j4atw3ema,17.298,2023-07-03T00:00:00Z,2023-07-03T18:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-stickyguid-01-003
4vcerlzo2rua3gkbw5estwqshoao3jdbs6hizzgvzucchx3qw2za,17.298,2023-07-03T00:00:00Z,2023-07-03T18:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-04-002
y2hfvjne326julkvhn33n22v5ov7ltn2qhathbnnythp7elcvjaa,17.298,2023-07-03T00:00:00Z,2023-07-03T18:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-10-002
72ei3xrk3fbvbsrkzx46gyhd3szjl2jizh5q753gwhgelydxxxhq,17.298,2023-07-03T00:00:00Z,2023-07-03T18:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-10-001
iugxpns6uka7yx5q5uxooqvzlehzkixuoawqk2fjizsuwu2ynbnq,17.298,2023-07-03T00:00:00Z,2023-07-03T18:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-09-002
vcqjwjtmr5iftdrwv3tt7c6rpxsmd76nqrrlwyhmzye4niehvn3q,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-01-002
sxuba4ugjiphy4ovkmg67tfcvpdkq7uboxqve6ha7ainncuo4nza,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-10-001
fkzssjku3kvotarngf7kxn2j6i3srn5jz3ba2zs3a7javgnhnmzq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-08-001
yrsldckt64eyx4nz23e5a6mc3j5mga2pwsqyvbxqkcg62todp6tq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-02-001
b2fiksjxbjhgoszehvgnxduq2jwoy5hwkwlwffzackejpen6wtuq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-07-002
5wrplx6plv2knoy7zn7savvwgvq2emv3fo5zvkrer3secs7fpltq,0.492,2023-07-04T00:00:00Z,2023-07-04T03:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-restaurants-01-002
lx65754e2ppvlpabcz6ausdpthb2drvjw7kpelpfsry7wp26o3gq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-06-001
zkt7jmlwj5oxi5ugt6ceyormnkipdzika2dxojje7sjku7zdw54a,3.664,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-13-001
72ei3xrk3fbvbsrkzx46gyhd3szjl2jizh5q753gwhgelydxxxhq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-10-001
iz2p5nitw5xzxohkodbrfm7bv7fr3hkz573ch62olmf2bqlaqtoq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-basket-01-001
solaq4ev6agbtpvneekfpkkaoj67lgn7kchbzlkf2k3j4atw3ema,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-stickyguid-01-003
lsmn7z25ocskhoez3ocfcj34sjprndgxbwkf762e54ancq46jgua,0.964,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-circuitbreaker-02-002
63dwzpm4wmygi6cc6n57vateilfsdswqbnvvclllurkj3on35b5a,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-01-001
5oot2z4ylw5sdlu46s3hqzalfbz6gien3xkeh54cfucheyxhiv3a,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-03-001
w72pap2pcuhj5yryfhxmp6pf5akuxsbzpmkci5mpp5uurhaieuvq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-06-002
spasf6bjfr64l3c742u37aec47lf56trzqpe3c5gpuglcyvde32a,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-05-002
hwgote3tumasn5umjd5a5fgz7lkdlwyiqmdyfargiipl6nquhwua,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-02-002
ohfx6r4bjmb2yt2lzag44yekfa3y64nxmv3vsigvxy2rmlqpqesq,3.844,2023-07-04T00:00:00Z,2023-07-04T04:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-09-001
w6mcxprwyi4ovom6prt2gvgmdtpqdeeeoqo2mufcjmnt7xfyaupa,23.064,2023-07-05T00:00:00Z,2023-07-06T00:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-07-001
3727i664jj7dpkvjlwfgmxpgcurgh5h73mvxz4lae7kz5untd3tq,21.984,2023-07-02T00:00:00Z,2023-07-03T00:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-14-002
7jurfvksffnwfktfcgywvmzg65gn24twh3eizcffhdnzlxhnstza,21.984,2023-07-04T00:00:00Z,2023-07-05T00:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-14-001
7jurfvksffnwfktfcgywvmzg65gn24twh3eizcffhdnzlxhnstza,17.404,2023-07-01T00:00:00Z,2023-07-02T00:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-14-001
ohfx6r4bjmb2yt2lzag44yekfa3y64nxmv3vsigvxy2rmlqpqesq,23.064,2023-07-05T00:00:00Z,2023-07-06T00:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-09-001
b2fiksjxbjhgoszehvgnxduq2jwoy5hwkwlwffzackejpen6wtuq,23.064,2023-07-05T00:00:00Z,2023-07-06T00:00:00Z,Usage,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-07-002
