billBillType,billBillingEntity,billBillingPeriodEndDate,billBillingPeriodStartDate,billInvoicingEntity,costCategoryTeam,discountEdpDiscount,discountTotalDiscount,identityLineItemId,identityTimeIntervalEnd,identityTimeIntervalStart,lineItemAvailabilityZone,lineItemBlendedCost,lineItemBlendedRate,lineItemCurrencyCode,lineItemLegalEntity,lineItemLineItemDescription,lineItemLineItemType,lineItemNetUnblendedCost,lineItemNetUnblendedRate,lineItemOperation,lineItemProductCode,lineItemResourceId,lineItemUnblendedCost,lineItemUnblendedRate,lineItemUsageAccountId,lineItemUsageAmount,lineItemUsageEndDate,lineItemUsageStartDate,lineItemUsageType,pricingCurrency,pricingPublicOnDemandCost,pricingPublicOnDemandRate,pricingRateCode,pricingTerm,pricingUnit,productCacheEngine,productCategory,productCurrentGeneration,productInstanceFamily,productInstanceType,productLocation,productLocationType,productNetworkPerformance,productOperation,productProductFamily,productProductName,productRegion,productRegionCode,productServicecode,productServicename,productSku,productUsagetype,resourceTagsUserApplication,resourceTagsUserApplicationDRN,resourceTagsUserApplicationName,resourceTagsUserEnvironment,resourceTagsUserRooEnvironment,resourceTagsUserTeamName,resourceTagsUserTerraformRepo
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-0.04338,-0.04338,fffcevca3jva3hihhg2s4l5b5ca43niefkdgsa76ia2ym2i3z24a,2023-07-08T00:00:00Z,2023-07-07T00:00:00Z,eu-west-1,0.241,0.241,USD,Amazon Web Services EMEA SARL,$0.241 per Enhanced High memory R5.large node hour running Redis,Usage,0.19762,0.19762,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-circuitbreaker-01-001,0.241,0.241,818921491005,1,2023-07-07T01:00:00Z,2023-07-07T00:00:00Z,EU-NodeUsage:cache.r5.large,USD,0.241,0.241,ZDQT4YBFXU6QBRSE.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.large,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,ZDQT4YBFXU6QBRSE,EU-NodeUsage:cache.r5.large,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-2.07576,-2.07576,i4onqkffv2i2mncw4zh2iuslxqr4bxp3nyppzxv2r5ylwphbyruq,2023-07-08T00:00:00Z,2023-07-07T00:00:00Z,eu-west-1,11.532,0.961,USD,Amazon Web Services EMEA SARL,$0.961 per Enhanced High memory R5.2xlarge node hour running Redis,Usage,9.45624,0.78802,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-06-002,11.532,0.961,818921491005,12,2023-07-07T12:00:00Z,2023-07-07T00:00:00Z,EU-NodeUsage:cache.r5.2xlarge,USD,11.532,0.961,Q4WUQCWB2K8Z6RAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,Q4WUQCWB2K8Z6RAC,EU-NodeUsage:cache.r5.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-4.15152,-4.15152,wkletwgwq2ky436rkqpgukw7cp7tvdszmbetr2uphct7gqxlqzhq,2023-07-03T00:00:00Z,2023-07-02T00:00:00Z,eu-west-1,23.064,0.961,USD,Amazon Web Services EMEA SARL,$0.961 per Enhanced High memory R5.2xlarge node hour running Redis,Usage,18.91248,0.78802,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-01-001,23.064,0.961,818921491005,24,2023-07-03T00:00:00Z,2023-07-02T00:00:00Z,EU-NodeUsage:cache.r5.2xlarge,USD,23.064,0.961,Q4WUQCWB2K8Z6RAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,Q4WUQCWB2K8Z6RAC,EU-NodeUsage:cache.r5.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-3.95712,-3.95712,zkt7jmlwj5oxi5ugt6ceyormnkipdzika2dxojje7sjku7zdw54a,2023-07-06T00:00:00Z,2023-07-05T00:00:00Z,eu-west-1,10.992,0.458,USD,Amazon Web Services EMEA SARL,$0.916 per Memory optimized r6g.2xlarge node hour running Redis,Usage,18.02688,0.75112,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-13-001,21.984,0.916,818921491005,24,2023-07-06T00:00:00Z,2023-07-05T00:00:00Z,EU-NodeUsage:cache.r6g.2xlarge,USD,21.984,0.916,9RCTR996WYJZK4N8.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r6g.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,9RCTR996WYJZK4N8,EU-NodeUsage:cache.r6g.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-4.15152,-4.15152,p26dvrjbisezrrlkodqefsiom3o6otcknp2q6p2hgcsfghrxs5hq,2023-07-02T00:00:00Z,2023-07-01T00:00:00Z,eu-west-1,23.064,0.961,USD,Amazon Web Services EMEA SARL,$0.961 per Enhanced High memory R5.2xlarge node hour running Redis,Usage,18.91248,0.78802,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-08-002,23.064,0.961,818921491005,24,2023-07-02T00:00:00Z,2023-07-01T00:00:00Z,EU-NodeUsage:cache.r5.2xlarge,USD,23.064,0.961,Q4WUQCWB2K8Z6RAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,Q4WUQCWB2K8Z6RAC,EU-NodeUsage:cache.r5.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-0.65952,-0.65952,slf74qyojbslhuv7amxuwbjlqhd3ucjnsto36esxd2nbivyunjja,2023-07-02T00:00:00Z,2023-07-01T00:00:00Z,eu-west-1,1.832,0.458,USD,Amazon Web Services EMEA SARL,$0.916 per Memory optimized r6g.2xlarge node hour running Redis,Usage,3.00448,0.75112,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-flipper-cache-01-001,3.664,0.916,818921491005,4,2023-07-01T22:00:00Z,2023-07-01T00:00:00Z,EU-NodeUsage:cache.r6g.2xlarge,USD,3.664,0.916,9RCTR996WYJZK4N8.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r6g.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,9RCTR996WYJZK4N8,EU-NodeUsage:cache.r6g.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-2.19024,-2.19024,5yborlhmb2zxqza3pqzdw27fezdo5it6zw3hjie2qc4n4u2osg6a,2023-07-06T00:00:00Z,2023-07-05T00:00:00Z,eu-west-1,12.168,0.507,USD,Amazon Web Services EMEA SARL,$0.507 per Enhanced High memory R4.xlarge node hour running Redis,Usage,9.97776,0.41574,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-cache-03-002,12.168,0.507,818921491005,24,2023-07-06T00:00:00Z,2023-07-05T00:00:00Z,EU-NodeUsage:cache.r4.xlarge,USD,12.168,0.507,3VNNYM5XXKM6HZS7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r4.xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,3VNNYM5XXKM6HZS7,EU-NodeUsage:cache.r4.xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-4.15152,-4.15152,6ovp46vkr43ardmr3ihw2srdkqqkct7bdpgh524vi53vzgzafhaq,2023-07-02T00:00:00Z,2023-07-01T00:00:00Z,eu-west-1,23.064,0.961,USD,Amazon Web Services EMEA SARL,$0.961 per Enhanced High memory R5.2xlarge node hour running Redis,Usage,18.91248,0.78802,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-roo-service-account-01-001,23.064,0.961,818921491005,24,2023-07-02T00:00:00Z,2023-07-01T00:00:00Z,EU-NodeUsage:cache.r5.2xlarge,USD,23.064,0.961,Q4WUQCWB2K8Z6RAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,Q4WUQCWB2K8Z6RAC,EU-NodeUsage:cache.r5.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-4.15152,-4.15152,fvyybxlaeysdetutq6bqfhb675l75b6wywecm4xtx7yljio2sddq,2023-07-06T00:00:00Z,2023-07-05T00:00:00Z,eu-west-1,23.064,0.961,USD,Amazon Web Services EMEA SARL,$0.961 per Enhanced High memory R5.2xlarge node hour running Redis,Usage,18.91248,0.78802,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-07-001,23.064,0.961,818921491005,24,2023-07-06T00:00:00Z,2023-07-05T00:00:00Z,EU-NodeUsage:cache.r5.2xlarge,USD,23.064,0.961,Q4WUQCWB2K8Z6RAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,Q4WUQCWB2K8Z6RAC,EU-NodeUsage:cache.r5.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
Anniversary,AWS,2023-08-01T00:00:00Z,2023-07-01T00:00:00Z,Amazon Web Services EMEA SARL,orderweb,-4.15152,-4.15152,2davsts5mcgpn4jvzcitp7wvl2pwmxwikejgyrj4lqu7kdf2lcgq,2023-07-04T00:00:00Z,2023-07-03T00:00:00Z,eu-west-1,23.064,0.961,USD,Amazon Web Services EMEA SARL,$0.961 per Enhanced High memory R5.2xlarge node hour running Redis,Usage,18.91248,0.78802,CreateCacheCluster:0002,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-06-001,23.064,0.961,818921491005,24,2023-07-04T00:00:00Z,2023-07-03T00:00:00Z,EU-NodeUsage:cache.r5.2xlarge,USD,23.064,0.961,Q4WUQCWB2K8Z6RAC.JRTCKXETXF.6YS6EN2CT7,OnDemand,Hrs,Redis,Database,Yes,Memory optimized,cache.r5.2xlarge,EU (Ireland),AWS Region,Up to 10 Gigabit,CreateCacheCluster:0002,Cache Instance,Amazon ElastiCache,eu-west-1,eu-west-1,AmazonElastiCache,Amazon ElastiCache,Q4WUQCWB2K8Z6RAC,EU-NodeUsage:cache.r5.2xlarge,orderweb,drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94,orderweb,production,production,orderweb,orderweb-infrastructure
