drn,name,type,commitments__group__drn,commitments__group__name,commitments__group__slug,commitments__group__type
drn:roo:supportable:xx:8d9f2248-be58-4c3e-83ab-739a11db0943,Rs Signature Api application,hopper_app,drn:roo:support-group:xx:c34d2e22-941b-4f04-bdb2-da7c92d46559,RS Signature,rs-signature-oncall,oncall_rota
drn:roo:supportable:xx:8d9f2248-be58-4c3e-83ab-739a11db0943,Rs Signature Api application,hopper_app,drn:roo:support-group:xx:1a018a77-4a51-4546-8279-7262c08f853b,RS Signature Tech,rs-signature,organisational_team
drn:roo:supportable:xx:c83b6120-219f-4b99-8b15-f7ceaaa49073,Mobile Verification Webview App,ui_component,drn:roo:support-group:xx:c81128da-bb6e-484a-b7e4-43268e4ffec2,trust-squirrel-engs,trust-squirrel,organisational_team
drn:roo:supportable:xx:567ef6fd-b840-441a-9113-275803c2d88a,/orderapp/v1/auth-redirect (POST) - Sinatra/Callcenter,http_endpoint,drn:roo:support-group:xx:fd16167f-2bda-4094-995d-650c43f6f164,payments-tech,financial-systems-payments,organisational_team
drn:roo:supportable:xx:567ef6fd-b840-441a-9113-275803c2d88a,/orderapp/v1/auth-redirect (POST) - Sinatra/Callcenter,http_endpoint,drn:roo:support-group:xx:10b354fb-1475-4a95-b547-c23618b2a35c,Consumer - Marketing Platforms,consumer-marketing-platforms,organisational_team
drn:roo:supportable:xx:8f8e7a8e-3eee-4cc5-a1b4-43ee821517df,Mark Etl Hit application,hopper_app,drn:roo:support-group:xx:10b354fb-1475-4a95-b547-c23618b2a35c,Consumer - Marketing Platforms,consumer-marketing-platforms,organisational_team
drn:roo:supportable:xx:f0100595-30b4-48db-b9aa-8843cb3984c9,Rs Hub Education Api application,hopper_app,drn:roo:support-group:xx:7748f82d-c6ff-4bcd-9d94-3eb4b9e4efe4,RS Hub Platform Engineering,rs-hub-platform,organisational_team
drn:roo:supportable:xx:d7d3ea19-7d58-42c3-ad33-704551b41271,/api/internal/restaurants/:restaurant_id/closed_periods (GET) - Rails,http_endpoint,drn:roo:support-group:xx:391a409a-8d1a-4fe0-ad55-e7db1928b1e9,Partner Lifecycle Integrations,rs-partner-lifecycle-integrations,organisational_team
drn:roo:supportable:xx:6794b3e2-3f56-414d-bf5d-e45caa86d622,Plat Graph Api application,hopper_app,drn:roo:support-group:xx:b5369f2a-1e9d-418a-9b84-41539d35cef7,Platform Engineering - Cost and Observability Team,production-engineering-cost-observability,organisational_team
drn:roo:supportable:xx:29cd6053-42e2-410a-a682-affdb0a86748,marketer-eligibility-value-ratings-consumer,hopper_lambda,drn:roo:support-group:xx:e28352b8-7568-4c19-aeaf-fea4bd0331dd,Marketer Offers,consumer-marketer-offers,organisational_team
